Num1,Num2,Num3,Num4,Num5,Num6,combined
3,18,19,23,32,45,Num1: 3; Num2: 18; Num3: 19; Num4: 23; Num5: 32; Num6: 45
3,6,9,18,22,35,Num1: 3; Num2: 6; Num3: 9; Num4: 18; Num5: 22; Num6: 35
3,6,22,23,24,38,Num1: 3; Num2: 6; Num3: 22; Num4: 23; Num5: 24; Num6: 38
20,31,32,40,41,45,Num1: 20; Num2: 31; Num3: 32; Num4: 40; Num5: 41; Num6: 45
4,24,27,35,37,45,Num1: 4; Num2: 24; Num3: 27; Num4: 35; Num5: 37; Num6: 45
3,10,24,33,38,45,Num1: 3; Num2: 10; Num3: 24; Num4: 33; Num5: 38; Num6: 45
7,10,22,25,34,40,Num1: 7; Num2: 10; Num3: 22; Num4: 25; Num5: 34; Num6: 40
11,23,25,30,32,40,Num1: 11; Num2: 23; Num3: 25; Num4: 30; Num5: 32; Num6: 40
8,13,19,27,40,45,Num1: 8; Num2: 13; Num3: 19; Num4: 27; Num5: 40; Num6: 45
13,20,24,32,36,45,Num1: 13; Num2: 20; Num3: 24; Num4: 32; Num5: 36; Num6: 45
4,7,12,14,22,33,Num1: 4; Num2: 7; Num3: 12; Num4: 14; Num5: 22; Num6: 33
14,19,27,28,30,45,Num1: 14; Num2: 19; Num3: 27; Num4: 28; Num5: 30; Num6: 45
22,26,29,30,34,45,Num1: 22; Num2: 26; Num3: 29; Num4: 30; Num5: 34; Num6: 45
5,17,26,27,35,38,Num1: 5; Num2: 17; Num3: 26; Num4: 27; Num5: 35; Num6: 38
21,26,30,32,33,35,Num1: 21; Num2: 26; Num3: 30; Num4: 32; Num5: 33; Num6: 35
6,12,31,35,38,43,Num1: 6; Num2: 12; Num3: 31; Num4: 35; Num5: 38; Num6: 43
3,5,13,20,21,37,Num1: 3; Num2: 5; Num3: 13; Num4: 20; Num5: 21; Num6: 37
6,12,17,21,32,39,Num1: 6; Num2: 12; Num3: 17; Num4: 21; Num5: 32; Num6: 39
2,20,33,40,42,44,Num1: 2; Num2: 20; Num3: 33; Num4: 40; Num5: 42; Num6: 44
7,16,25,29,35,36,Num1: 7; Num2: 16; Num3: 25; Num4: 29; Num5: 35; Num6: 36
6,14,15,19,21,41,Num1: 6; Num2: 14; Num3: 15; Num4: 19; Num5: 21; Num6: 41
12,17,20,26,28,36,Num1: 12; Num2: 17; Num3: 20; Num4: 26; Num5: 28; Num6: 36
3,5,12,22,26,31,Num1: 3; Num2: 5; Num3: 12; Num4: 22; Num5: 26; Num6: 31
5,14,15,23,34,43,Num1: 5; Num2: 14; Num3: 15; Num4: 23; Num5: 34; Num6: 43
6,7,9,11,17,18,Num1: 6; Num2: 7; Num3: 9; Num4: 11; Num5: 17; Num6: 18
8,16,26,29,31,36,Num1: 8; Num2: 16; Num3: 26; Num4: 29; Num5: 31; Num6: 36
2,3,6,19,36,39,Num1: 2; Num2: 3; Num3: 6; Num4: 19; Num5: 36; Num6: 39
7,16,24,27,37,44,Num1: 7; Num2: 16; Num3: 24; Num4: 27; Num5: 37; Num6: 44
2,14,15,22,27,33,Num1: 2; Num2: 14; Num3: 15; Num4: 22; Num5: 27; Num6: 33
2,5,22,32,34,45,Num1: 2; Num2: 5; Num3: 22; Num4: 32; Num5: 34; Num6: 45
9,14,34,35,41,42,Num1: 9; Num2: 14; Num3: 34; Num4: 35; Num5: 41; Num6: 42
26,31,32,33,38,40,Num1: 26; Num2: 31; Num3: 32; Num4: 33; Num5: 38; Num6: 40
3,11,15,20,35,44,Num1: 3; Num2: 11; Num3: 15; Num4: 20; Num5: 35; Num6: 44
1,6,12,19,36,42,Num1: 1; Num2: 6; Num3: 12; Num4: 19; Num5: 36; Num6: 42
6,7,22,32,35,36,Num1: 6; Num2: 7; Num3: 22; Num4: 32; Num5: 35; Num6: 36
2,5,11,17,24,29,Num1: 2; Num2: 5; Num3: 11; Num4: 17; Num5: 24; Num6: 29
12,30,32,37,39,41,Num1: 12; Num2: 30; Num3: 32; Num4: 37; Num5: 39; Num6: 41
5,7,12,13,18,35,Num1: 5; Num2: 7; Num3: 12; Num4: 13; Num5: 18; Num6: 35
14,16,27,35,39,45,Num1: 14; Num2: 16; Num3: 27; Num4: 35; Num5: 39; Num6: 45
5,12,13,31,32,41,Num1: 5; Num2: 12; Num3: 13; Num4: 31; Num5: 32; Num6: 41
8,9,20,25,29,33,Num1: 8; Num2: 9; Num3: 20; Num4: 25; Num5: 29; Num6: 33
9,18,20,22,38,44,Num1: 9; Num2: 18; Num3: 20; Num4: 22; Num5: 38; Num6: 44
10,14,16,18,29,35,Num1: 10; Num2: 14; Num3: 16; Num4: 18; Num5: 29; Num6: 35
5,6,11,29,42,45,Num1: 5; Num2: 6; Num3: 11; Num4: 29; Num5: 42; Num6: 45
12,15,17,24,29,45,Num1: 12; Num2: 15; Num3: 17; Num4: 24; Num5: 29; Num6: 45
12,27,29,38,41,45,Num1: 12; Num2: 27; Num3: 29; Num4: 38; Num5: 41; Num6: 45
1,4,13,17,34,39,Num1: 1; Num2: 4; Num3: 13; Num4: 17; Num5: 34; Num6: 39
3,19,21,25,37,45,Num1: 3; Num2: 19; Num3: 21; Num4: 25; Num5: 37; Num6: 45
12,18,22,23,30,34,Num1: 12; Num2: 18; Num3: 22; Num4: 23; Num5: 30; Num6: 34
15,26,28,34,41,42,Num1: 15; Num2: 26; Num3: 28; Num4: 34; Num5: 41; Num6: 42
14,23,31,33,37,40,Num1: 14; Num2: 23; Num3: 31; Num4: 33; Num5: 37; Num6: 40
3,11,14,18,26,27,Num1: 3; Num2: 11; Num3: 14; Num4: 18; Num5: 26; Num6: 27
21,22,26,34,36,41,Num1: 21; Num2: 22; Num3: 26; Num4: 34; Num5: 36; Num6: 41
5,11,18,20,35,45,Num1: 5; Num2: 11; Num3: 18; Num4: 20; Num5: 35; Num6: 45
1,9,12,26,35,38,Num1: 1; Num2: 9; Num3: 12; Num4: 26; Num5: 35; Num6: 38
9,12,15,25,34,36,Num1: 9; Num2: 12; Num3: 15; Num4: 25; Num5: 34; Num6: 36
15,23,29,34,40,44,Num1: 15; Num2: 23; Num3: 29; Num4: 34; Num5: 40; Num6: 44
9,11,30,31,41,44,Num1: 9; Num2: 11; Num3: 30; Num4: 31; Num5: 41; Num6: 44
8,11,16,19,21,25,Num1: 8; Num2: 11; Num3: 16; Num4: 19; Num5: 21; Num6: 25
8,11,15,16,17,37,Num1: 8; Num2: 11; Num3: 15; Num4: 16; Num5: 17; Num6: 37
8,13,18,24,27,29,Num1: 8; Num2: 13; Num3: 18; Num4: 24; Num5: 27; Num6: 29
7,15,30,37,39,44,Num1: 7; Num2: 15; Num3: 30; Num4: 37; Num5: 39; Num6: 44
1,4,29,39,43,45,Num1: 1; Num2: 4; Num3: 29; Num4: 39; Num5: 43; Num6: 45
17,25,33,35,38,45,Num1: 17; Num2: 25; Num3: 33; Num4: 35; Num5: 38; Num6: 45
6,10,12,14,20,42,Num1: 6; Num2: 10; Num3: 12; Num4: 14; Num5: 20; Num6: 42
2,8,19,22,32,42,Num1: 2; Num2: 8; Num3: 19; Num4: 22; Num5: 32; Num6: 42
1,3,9,14,18,28,Num1: 1; Num2: 3; Num3: 9; Num4: 14; Num5: 18; Num6: 28
13,17,18,20,42,45,Num1: 13; Num2: 17; Num3: 18; Num4: 20; Num5: 42; Num6: 45
4,7,14,16,24,44,Num1: 4; Num2: 7; Num3: 14; Num4: 16; Num5: 24; Num6: 44
6,11,15,24,32,39,Num1: 6; Num2: 11; Num3: 15; Num4: 24; Num5: 32; Num6: 39
1,4,13,29,38,39,Num1: 1; Num2: 4; Num3: 13; Num4: 29; Num5: 38; Num6: 39
1,3,8,24,27,35,Num1: 1; Num2: 3; Num3: 8; Num4: 24; Num5: 27; Num6: 35
6,14,16,18,24,42,Num1: 6; Num2: 14; Num3: 16; Num4: 18; Num5: 24; Num6: 42
12,20,26,33,44,45,Num1: 12; Num2: 20; Num3: 26; Num4: 33; Num5: 44; Num6: 45
13,18,25,31,33,44,Num1: 13; Num2: 18; Num3: 25; Num4: 31; Num5: 33; Num6: 44
2,4,25,26,36,37,Num1: 2; Num2: 4; Num3: 25; Num4: 26; Num5: 36; Num6: 37
17,18,21,27,29,33,Num1: 17; Num2: 18; Num3: 21; Num4: 27; Num5: 29; Num6: 33
2,13,20,30,31,41,Num1: 2; Num2: 13; Num3: 20; Num4: 30; Num5: 31; Num6: 41
2,4,15,23,29,38,Num1: 2; Num2: 4; Num3: 15; Num4: 23; Num5: 29; Num6: 38
7,10,16,28,41,42,Num1: 7; Num2: 10; Num3: 16; Num4: 28; Num5: 41; Num6: 42
17,21,23,30,34,44,Num1: 17; Num2: 21; Num3: 23; Num4: 30; Num5: 34; Num6: 44
3,10,23,35,36,37,Num1: 3; Num2: 10; Num3: 23; Num4: 35; Num5: 36; Num6: 37
13,23,26,31,35,43,Num1: 13; Num2: 23; Num3: 26; Num4: 31; Num5: 35; Num6: 43
5,7,13,20,21,44,Num1: 5; Num2: 7; Num3: 13; Num4: 20; Num5: 21; Num6: 44
27,36,37,41,43,45,Num1: 27; Num2: 36; Num3: 37; Num4: 41; Num5: 43; Num6: 45
3,13,16,23,24,35,Num1: 3; Num2: 13; Num3: 16; Num4: 23; Num5: 24; Num6: 35
7,11,16,21,27,33,Num1: 7; Num2: 11; Num3: 16; Num4: 21; Num5: 27; Num6: 33
1,7,15,32,34,42,Num1: 1; Num2: 7; Num3: 15; Num4: 32; Num5: 34; Num6: 42
2,9,10,14,22,44,Num1: 2; Num2: 9; Num3: 10; Num4: 14; Num5: 22; Num6: 44
4,12,14,25,35,37,Num1: 4; Num2: 12; Num3: 14; Num4: 25; Num5: 35; Num6: 37
7,8,9,17,22,24,Num1: 7; Num2: 8; Num3: 9; Num4: 17; Num5: 22; Num6: 24
1,2,11,16,39,44,Num1: 1; Num2: 2; Num3: 11; Num4: 16; Num5: 39; Num6: 44
22,26,31,37,41,42,Num1: 22; Num2: 26; Num3: 31; Num4: 37; Num5: 41; Num6: 42
3,6,17,23,37,39,Num1: 3; Num2: 6; Num3: 17; Num4: 23; Num5: 37; Num6: 39
2,6,17,18,21,26,Num1: 2; Num2: 6; Num3: 17; Num4: 18; Num5: 21; Num6: 26
9,11,16,21,28,36,Num1: 9; Num2: 11; Num3: 16; Num4: 21; Num5: 28; Num6: 36
3,9,10,29,40,45,Num1: 3; Num2: 9; Num3: 10; Num4: 29; Num5: 40; Num6: 45
2,5,12,14,24,39,Num1: 2; Num2: 5; Num3: 12; Num4: 14; Num5: 24; Num6: 39
1,6,13,37,38,40,Num1: 1; Num2: 6; Num3: 13; Num4: 37; Num5: 38; Num6: 40
1,21,25,29,34,37,Num1: 1; Num2: 21; Num3: 25; Num4: 29; Num5: 34; Num6: 37
2,13,25,28,29,36,Num1: 2; Num2: 13; Num3: 25; Num4: 28; Num5: 29; Num6: 36
6,21,36,38,39,43,Num1: 6; Num2: 21; Num3: 36; Num4: 38; Num5: 39; Num6: 43
6,12,19,23,34,42,Num1: 6; Num2: 12; Num3: 19; Num4: 23; Num5: 34; Num6: 42
1,18,28,31,34,43,Num1: 1; Num2: 18; Num3: 28; Num4: 31; Num5: 34; Num6: 43
11,20,29,31,33,42,Num1: 11; Num2: 20; Num3: 29; Num4: 31; Num5: 33; Num6: 42
2,18,24,30,32,45,Num1: 2; Num2: 18; Num3: 24; Num4: 30; Num5: 32; Num6: 45
1,14,15,24,40,41,Num1: 1; Num2: 14; Num3: 15; Num4: 24; Num5: 40; Num6: 41
2,9,10,16,35,37,Num1: 2; Num2: 9; Num3: 10; Num4: 16; Num5: 35; Num6: 37
4,15,24,35,36,40,Num1: 4; Num2: 15; Num3: 24; Num4: 35; Num5: 36; Num6: 40
10,11,20,21,25,41,Num1: 10; Num2: 11; Num3: 20; Num4: 21; Num5: 25; Num6: 41
4,9,23,26,29,33,Num1: 4; Num2: 9; Num3: 23; Num4: 26; Num5: 29; Num6: 33
1,9,26,28,30,41,Num1: 1; Num2: 9; Num3: 26; Num4: 28; Num5: 30; Num6: 41
7,9,22,27,37,42,Num1: 7; Num2: 9; Num3: 22; Num4: 27; Num5: 37; Num6: 42
4,12,22,24,33,41,Num1: 4; Num2: 12; Num3: 22; Num4: 24; Num5: 33; Num6: 41
2,12,30,31,39,43,Num1: 2; Num2: 12; Num3: 30; Num4: 31; Num5: 39; Num6: 43
3,4,15,22,28,40,Num1: 3; Num2: 4; Num3: 15; Num4: 22; Num5: 28; Num6: 40
14,21,35,36,40,44,Num1: 14; Num2: 21; Num3: 35; Num4: 36; Num5: 40; Num6: 44
13,18,30,31,38,41,Num1: 13; Num2: 18; Num3: 30; Num4: 31; Num5: 38; Num6: 41
3,8,17,20,27,35,Num1: 3; Num2: 8; Num3: 17; Num4: 20; Num5: 27; Num6: 35
9,18,19,30,34,40,Num1: 9; Num2: 18; Num3: 19; Num4: 30; Num5: 34; Num6: 40
9,10,15,30,33,37,Num1: 9; Num2: 10; Num3: 15; Num4: 30; Num5: 33; Num6: 37
2,13,16,19,32,33,Num1: 2; Num2: 13; Num3: 16; Num4: 19; Num5: 32; Num6: 33
1,8,13,36,44,45,Num1: 1; Num2: 8; Num3: 13; Num4: 36; Num5: 44; Num6: 45
10,12,18,35,42,43,Num1: 10; Num2: 12; Num3: 18; Num4: 35; Num5: 42; Num6: 43
12,14,25,27,39,40,Num1: 12; Num2: 14; Num3: 25; Num4: 27; Num5: 39; Num6: 40
3,15,20,22,24,41,Num1: 3; Num2: 15; Num3: 20; Num4: 22; Num5: 24; Num6: 41
4,11,28,39,42,45,Num1: 4; Num2: 11; Num3: 28; Num4: 39; Num5: 42; Num6: 45
4,8,10,16,31,36,Num1: 4; Num2: 8; Num3: 10; Num4: 16; Num5: 31; Num6: 36
2,10,13,22,29,40,Num1: 2; Num2: 10; Num3: 13; Num4: 22; Num5: 29; Num6: 40
7,11,13,17,18,29,Num1: 7; Num2: 11; Num3: 13; Num4: 17; Num5: 18; Num6: 29
4,10,20,32,38,44,Num1: 4; Num2: 10; Num3: 20; Num4: 32; Num5: 38; Num6: 44
1,3,30,33,36,39,Num1: 1; Num2: 3; Num3: 30; Num4: 33; Num5: 36; Num6: 39
23,27,29,31,36,45,Num1: 23; Num2: 27; Num3: 29; Num4: 31; Num5: 36; Num6: 45
1,6,15,36,37,38,Num1: 1; Num2: 6; Num3: 15; Num4: 36; Num5: 37; Num6: 38
14,15,23,25,35,43,Num1: 14; Num2: 15; Num3: 23; Num4: 25; Num5: 35; Num6: 43
8,21,25,38,39,44,Num1: 8; Num2: 21; Num3: 25; Num4: 38; Num5: 39; Num6: 44
7,9,12,15,19,23,Num1: 7; Num2: 9; Num3: 12; Num4: 15; Num5: 19; Num6: 23
3,4,10,20,28,44,Num1: 3; Num2: 4; Num3: 10; Num4: 20; Num5: 28; Num6: 44
4,15,22,38,41,43,Num1: 4; Num2: 15; Num3: 22; Num4: 38; Num5: 41; Num6: 43
10,16,18,20,25,31,Num1: 10; Num2: 16; Num3: 18; Num4: 20; Num5: 25; Num6: 31
13,24,32,34,39,42,Num1: 13; Num2: 24; Num3: 32; Num4: 34; Num5: 39; Num6: 42
3,11,34,42,43,44,Num1: 3; Num2: 11; Num3: 34; Num4: 42; Num5: 43; Num6: 44
3,17,18,23,36,41,Num1: 3; Num2: 17; Num3: 18; Num4: 23; Num5: 36; Num6: 41
2,6,13,17,27,43,Num1: 2; Num2: 6; Num3: 13; Num4: 17; Num5: 27; Num6: 43
5,7,12,22,28,41,Num1: 5; Num2: 7; Num3: 12; Num4: 22; Num5: 28; Num6: 41
2,3,26,33,34,43,Num1: 2; Num2: 3; Num3: 26; Num4: 33; Num5: 34; Num6: 43
9,14,17,18,42,44,Num1: 9; Num2: 14; Num3: 17; Num4: 18; Num5: 42; Num6: 44
7,11,12,31,33,38,Num1: 7; Num2: 11; Num3: 12; Num4: 31; Num5: 33; Num6: 38
1,3,23,24,27,43,Num1: 1; Num2: 3; Num3: 23; Num4: 24; Num5: 27; Num6: 43
6,21,22,32,35,36,Num1: 6; Num2: 21; Num3: 22; Num4: 32; Num5: 35; Num6: 36
2,6,11,13,22,37,Num1: 2; Num2: 6; Num3: 11; Num4: 13; Num5: 22; Num6: 37
16,19,24,33,42,44,Num1: 16; Num2: 19; Num3: 24; Num4: 33; Num5: 42; Num6: 44
6,14,16,21,27,37,Num1: 6; Num2: 14; Num3: 16; Num4: 21; Num5: 27; Num6: 37
5,8,18,21,22,38,Num1: 5; Num2: 8; Num3: 18; Num4: 21; Num5: 22; Num6: 38
4,5,12,14,32,42,Num1: 4; Num2: 5; Num3: 12; Num4: 14; Num5: 32; Num6: 42
1,11,17,27,35,39,Num1: 1; Num2: 11; Num3: 17; Num4: 27; Num5: 35; Num6: 39
7,24,29,30,34,35,Num1: 7; Num2: 24; Num3: 29; Num4: 30; Num5: 34; Num6: 35
3,16,21,22,23,44,Num1: 3; Num2: 16; Num3: 21; Num4: 22; Num5: 23; Num6: 44
21,27,29,38,40,44,Num1: 21; Num2: 27; Num3: 29; Num4: 38; Num5: 40; Num6: 44
2,5,14,28,31,32,Num1: 2; Num2: 5; Num3: 14; Num4: 28; Num5: 31; Num6: 32
3,4,16,27,38,40,Num1: 3; Num2: 4; Num3: 16; Num4: 27; Num5: 38; Num6: 40
2,6,8,26,43,45,Num1: 2; Num2: 6; Num3: 8; Num4: 26; Num5: 43; Num6: 45
2,15,16,21,22,28,Num1: 2; Num2: 15; Num3: 16; Num4: 21; Num5: 22; Num6: 28
7,19,23,24,36,39,Num1: 7; Num2: 19; Num3: 23; Num4: 24; Num5: 36; Num6: 39
5,18,20,23,30,34,Num1: 5; Num2: 18; Num3: 20; Num4: 23; Num5: 30; Num6: 34
7,13,16,18,35,38,Num1: 7; Num2: 13; Num3: 16; Num4: 18; Num5: 35; Num6: 38
8,19,20,21,33,39,Num1: 8; Num2: 19; Num3: 20; Num4: 21; Num5: 33; Num6: 39
18,21,28,35,37,42,Num1: 18; Num2: 21; Num3: 28; Num4: 35; Num5: 37; Num6: 42
6,7,12,22,26,36,Num1: 6; Num2: 7; Num3: 12; Num4: 22; Num5: 26; Num6: 36
5,12,25,26,38,45,Num1: 5; Num2: 12; Num3: 25; Num4: 26; Num5: 38; Num6: 45
16,26,31,38,39,41,Num1: 16; Num2: 26; Num3: 31; Num4: 38; Num5: 39; Num6: 41
19,32,37,40,41,43,Num1: 19; Num2: 32; Num3: 37; Num4: 40; Num5: 41; Num6: 43
1,15,17,23,25,41,Num1: 1; Num2: 15; Num3: 17; Num4: 23; Num5: 25; Num6: 41
4,9,17,18,26,42,Num1: 4; Num2: 9; Num3: 17; Num4: 18; Num5: 26; Num6: 42
9,13,28,31,39,41,Num1: 9; Num2: 13; Num3: 28; Num4: 31; Num5: 39; Num6: 41
1,4,14,18,29,37,Num1: 1; Num2: 4; Num3: 14; Num4: 18; Num5: 29; Num6: 37
3,13,29,38,39,42,Num1: 3; Num2: 13; Num3: 29; Num4: 38; Num5: 39; Num6: 42
3,7,12,31,34,38,Num1: 3; Num2: 7; Num3: 12; Num4: 31; Num5: 34; Num6: 38
8,14,17,27,36,45,Num1: 8; Num2: 14; Num3: 17; Num4: 27; Num5: 36; Num6: 45
19,23,28,37,42,45,Num1: 19; Num2: 23; Num3: 28; Num4: 37; Num5: 42; Num6: 45
1,3,24,27,39,45,Num1: 1; Num2: 3; Num3: 24; Num4: 27; Num5: 39; Num6: 45
4,14,23,28,37,45,Num1: 4; Num2: 14; Num3: 23; Num4: 28; Num5: 37; Num6: 45
9,18,32,33,37,44,Num1: 9; Num2: 18; Num3: 32; Num4: 33; Num5: 37; Num6: 44
18,34,39,43,44,45,Num1: 18; Num2: 34; Num3: 39; Num4: 43; Num5: 44; Num6: 45
4,18,20,26,27,32,Num1: 4; Num2: 18; Num3: 20; Num4: 26; Num5: 27; Num6: 32
7,17,19,23,24,45,Num1: 7; Num2: 17; Num3: 19; Num4: 23; Num5: 24; Num6: 45
1,4,10,14,15,35,Num1: 1; Num2: 4; Num3: 10; Num4: 14; Num5: 15; Num6: 35
2,6,11,16,25,31,Num1: 2; Num2: 6; Num3: 11; Num4: 16; Num5: 25; Num6: 31
5,17,18,22,23,43,Num1: 5; Num2: 17; Num3: 18; Num4: 22; Num5: 23; Num6: 43
5,16,21,26,34,42,Num1: 5; Num2: 16; Num3: 21; Num4: 26; Num5: 34; Num6: 42
19,22,30,34,39,44,Num1: 19; Num2: 22; Num3: 30; Num4: 34; Num5: 39; Num6: 44
1,15,19,23,28,42,Num1: 1; Num2: 15; Num3: 19; Num4: 23; Num5: 28; Num6: 42
3,5,12,13,33,39,Num1: 3; Num2: 5; Num3: 12; Num4: 13; Num5: 33; Num6: 39
2,4,30,32,33,43,Num1: 2; Num2: 4; Num3: 30; Num4: 32; Num5: 33; Num6: 43
2,6,12,26,30,34,Num1: 2; Num2: 6; Num3: 12; Num4: 26; Num5: 30; Num6: 34
21,25,30,32,40,42,Num1: 21; Num2: 25; Num3: 30; Num4: 32; Num5: 40; Num6: 42
2,6,20,27,37,39,Num1: 2; Num2: 6; Num3: 20; Num4: 27; Num5: 37; Num6: 39
12,17,28,41,43,44,Num1: 12; Num2: 17; Num3: 28; Num4: 41; Num5: 43; Num6: 44
14,17,19,22,24,40,Num1: 14; Num2: 17; Num3: 19; Num4: 22; Num5: 24; Num6: 40
9,15,29,34,37,39,Num1: 9; Num2: 15; Num3: 29; Num4: 34; Num5: 37; Num6: 39
3,15,22,32,33,45,Num1: 3; Num2: 15; Num3: 22; Num4: 32; Num5: 33; Num6: 45
3,7,10,13,25,36,Num1: 3; Num2: 7; Num3: 10; Num4: 13; Num5: 25; Num6: 36
16,21,28,35,39,43,Num1: 16; Num2: 21; Num3: 28; Num4: 35; Num5: 39; Num6: 43
10,34,38,40,42,43,Num1: 10; Num2: 34; Num3: 38; Num4: 40; Num5: 42; Num6: 43
11,17,19,21,22,25,Num1: 11; Num2: 17; Num3: 19; Num4: 21; Num5: 22; Num6: 25
4,8,18,25,27,32,Num1: 4; Num2: 8; Num3: 18; Num4: 25; Num5: 27; Num6: 32
8,22,35,38,39,41,Num1: 8; Num2: 22; Num3: 35; Num4: 38; Num5: 39; Num6: 41
9,13,32,38,39,43,Num1: 9; Num2: 13; Num3: 32; Num4: 38; Num5: 39; Num6: 43
6,10,16,28,34,38,Num1: 6; Num2: 10; Num3: 16; Num4: 28; Num5: 34; Num6: 38
10,24,40,41,43,44,Num1: 10; Num2: 24; Num3: 40; Num4: 41; Num5: 43; Num6: 44
8,15,17,19,43,44,Num1: 8; Num2: 15; Num3: 17; Num4: 19; Num5: 43; Num6: 44
20,25,31,32,36,43,Num1: 20; Num2: 25; Num3: 31; Num4: 32; Num5: 36; Num6: 43
